month,0
2020-09,3
2020-10,12
2020-11,29
2020-12,19
2021-01,31
2021-02,19
2021-03,43
2021-04,20
2021-05,25
2021-06,14
2021-07,14
2021-08,4
2021-09,6
2021-10,22
2021-11,24
2021-12,32
2022-01,61
2022-02,48
2022-03,44
2022-04,48
2022-05,103
2022-06,93
2022-07,70
2022-08,99
2022-09,179
2022-10,129
2022-11,86
2022-12,290
2023-01,359
2023-02,241
2023-03,516
2023-04,773
2023-05,910
2023-06,953
2023-07,1732
2023-08,1775
2023-09,1532
2023-10,1477
2023-11,1368
2023-12,1712
2024-01,2498
2024-02,2273
2024-03,2860
2024-04,2740
2024-05,3144
2024-06,3229
2024-07,3261
2024-08,3557
2024-09,3321
2024-10,3221
2024-11,2953
2024-12,3660
