month,0
2020-09,114
2020-10,191
2020-11,186
2020-12,212
2021-01,239
2021-02,205
2021-03,258
2021-04,217
2021-05,293
2021-06,297
2021-07,237
2021-08,286
2021-09,184
2021-10,197
2021-11,274
2021-12,311
2022-01,469
2022-02,412
2022-03,476
2022-04,517
2022-05,686
2022-06,540
2022-07,518
2022-08,697
2022-09,598
2022-10,684
2022-11,580
2022-12,915
2023-01,991
2023-02,878
2023-03,1393
2023-04,1640
2023-05,2104
2023-06,1972
2023-07,2155
2023-08,2369
2023-09,2442
2023-10,2234
2023-11,1981
2023-12,2195
2024-01,2962
2024-02,2913
2024-03,2808
2024-04,2686
2024-05,2863
2024-06,2683
2024-07,2503
2024-08,2313
2024-09,2000
2024-10,2487
2024-11,2347
2024-12,2910
