word,count
ml,333874
chanel,78173
box,68583
niche,63304
tester,47102
s,40103
bag,35866
edp,30263
t,28946
new,24768
vintage,23481
designer,21645
cap,21637
bags,18528
edt,18426
bottle,18205
like,17898
homme,17414
dior,17409
eau,16078
brand,15886
m,15488
sample,14837
creed,14491
just,14243
parfum,13408
black,13247
spray,12927
vial,12540
amp,12481
