month,0
2020-09,567
2020-10,668
2020-11,694
2020-12,561
2021-01,726
2021-02,521
2021-03,630
2021-04,681
2021-05,658
2021-06,628
2021-07,651
2021-08,522
2021-09,447
2021-10,439
2021-11,463
2021-12,560
2022-01,642
2022-02,628
2022-03,778
2022-04,792
2022-05,949
2022-06,747
2022-07,860
2022-08,1007
2022-09,872
2022-10,910
2022-11,811
2022-12,1040
2023-01,1010
2023-02,971
2023-03,1262
2023-04,1385
2023-05,1614
2023-06,1525
2023-07,1792
2023-08,1625
2023-09,1430
2023-10,1327
2023-11,1228
2023-12,614
2024-01,663
2024-02,574
2024-03,614
2024-04,409
2024-05,374
2024-06,310
2024-07,390
2024-08,393
2024-09,452
2024-10,392
2024-11,493
2024-12,457
